Summary:
Number of strings read: 16384
Number of strings stored in hash table: 16384
Number of strings in their home addresses: 1440
Number of collisions: 14944
Average number of string comparisons: 5595.498474

Index    Key               Home Index    In Home    Comparisons
540      if                309           NO         232        
541      my                351           NO         191        
542      gh                311           NO         232        
543      wk                333           NO         211        
544      np                334           NO         211        
545      um                335           NO         211        
546      js                336           NO         211        
547      ji                316           NO         232        
548      ea                295           NO         254        
549      pg                318           NO         232        
550      zw                360           NO         191        
551      hl                320           NO         232        
552      vz                362           NO         191        
553      hm                322           NO         232        
554      aq                323           NO         232        
555      kw                345           NO         211        
556      cf                303           NO         254        
557      dq                326           NO         232        
558      cg                305           NO         254        
559      pa                306           NO         254        
560      jz                350           NO         211        
561      fr                330           NO         232        
562      aj                309           NO         254        
563      wu                353           NO         211        
564      nz                354           NO         211        
565      dj                312           NO         254        
566      ih                313           NO         254        
567      yv                357           NO         211        
568      kh                315           NO         254        
569      za                316           NO         254        
570      iu                339           NO         232        
571      cb                295           NO         277        
572      iv                341           NO         232        
573      ni                320           NO         254        
574      co                321           NO         254        
575      tg                322           NO         254        
576      gy                345           NO         232        
577      ze                324           NO         254        
578      de                302           NO         277        
579      zf                326           NO         254        
580      mx                349           NO         232        
581      kc                305           NO         277        
582      ip                329           NO         254        
583      gf                307           NO         277        
584      gr                331           NO         254        
585      ke                309           NO         277        
586      fh                310           NO         277        
587      bca               587           YES        1          
588      ww                357           NO         232        
589      dv                336           NO         254        
590      nf                314           NO         277        
591      wb                315           NO         277        
592      gca               592           YES        1          
593      jba               593           YES        1          
594      fl                318           NO         277        
595      bdc               595           YES        1          
596      xd                320           NO         277        
597      ffa               597           YES        1          
598      aaf               597           NO         2          
599      efb               599           YES        1          
600      gga               600           YES        1          
601      edd               601           YES        1          
602      aka               602           YES        1          
603      dgc               603           YES        1          
604      waa               604           YES        1          
605      ndb               604           NO         2          
606      nea               603           NO         4          
607      nae               607           YES        1          
608      alb               607           NO         2          
609      efe               608           NO         2          
610      aoa               610           YES        1          
611      jka               611           YES        1          
612      hee               609           NO         4          
613      lee               613           YES        1          
614      xad               614           YES        1          
615      tec               615           YES        1          
616      hmb               616           YES        1          
617      cgh               617           YES        1          
618      igf               617           NO         2          
619      dfi               619           YES        1          
620      lmb               620           YES        1          
621      ebl               621           YES        1          
622      mci               622           YES        1          
623      oaj               623           YES        1          
624      hhh               624           YES        1          
625      qai               622           NO         4          
626      yhc               626           YES        1          
627      ifh               621           NO         7          
628      eao               628           YES        1          
629      fbn               628           NO         2          
630      ioe               630           YES        1          
631      bpf               628           NO         4          
632      uak               632           YES        1          
633      eqf               633           YES        1          
634      ftd               634           YES        1          
635      dza               635           YES        1          
636      spc               636           YES        1          
637      bkl               636           NO         2          
638      jbp               638           YES        1          
639      ule               636           NO         4          
640      tdl               640           YES        1          
641      sel               641           YES        1          
642      ktd               639           NO         4          
643      kjg               628           NO         16         
644      eok               644           YES        1          
645      bol               644           NO         2          
646      gfq               646           YES        1          
647      pbp               644           NO         4          
648      ruc               645           NO         4          
649      reo               649           YES        1          
650      isi               650           YES        1          
651      pyc               651           YES        1          
652      hes               651           NO         2          
653      kip               653           YES        1          
654      dgt               654           YES        1          
655      qqi               654           NO         2          
656      gqm               656           YES        1          
657      teq               657           YES        1          
658      yfn               655           NO         4          
659      wrh               659           YES        1          
660      agw               660           YES        1          
661      bvk               655           NO         7          
662      koo               662           YES        1          
663      knp               663           YES        1          
664      cns               664           YES        1          
665      jer               650           NO         16         
666      pav               660           NO         7          
667      ayj               657           NO         11         
668      tuj               668           YES        1          
669      vzf               668           NO         2          
670      gos               670           YES        1          
671      fwn               670           NO         2          
672      cjo               644           NO         29         
673      zpl               670           NO         4          
674      dbw               653           NO         22         
675      los               675           YES        1          
676      wyi               676           YES        1          
677      isr               677           YES        1          
678      hhz               678           YES        1          
679      mlv               679           YES        1          
680      fms               665           NO         16         
681      luq               681           YES        1          
682      hvq               679           NO         4          
683      how               683           YES        1          
684      dtr               674           NO         11         
685      cxs               684           NO         2          
686      euu               686           YES        1          
687      ixr               687           YES        1          
688      qvq               688           YES        1          
689      hap               634           NO         56         
690      ewu               690           YES        1          
691      yvo               690           NO         2          
692      jqx               692           YES        1          
693      ppw               693           YES        1          
694      pxf               658           NO         37         
695      vqt               692           NO         4          
696      nzk               675           NO         22         
697      iwv               697           YES        1          
698      bsr               670           NO         29         
699      cxx               699           YES        1          
700      zjk               655           NO         46         
701      siz               691           NO         11         
